[SETTINGS]
#cell_size(width)	cell_size(height)	num_col_cells	num_row_cells
23	2262	102	403
23	2277	102	403
20	2292	102	218
#==== G?CH B? L? ====	265		
1	1770	71	402
1	1785	71	402
1	1836	135	402
1	1851	135	402
1	1866	135	402
1	1851	120	402
1	1866	120	402
1	1866	105	402
1	1929	105	402
1	1929	120	402
1	1944	120	402
1	1929	135	402
1	1944	135	402
1	1959	135	402
1	2521	39	402
1	2536	39	402
1	2521	103	402
1	2536	103	402
# --- G?CH CÂU H?I ----	265		
18	441	87	218
18	457	87	218
18	489	39	218
18	505	39	218
18	681	55	218
18	921	121	218
18	969	87	218
20	1705	-137	218
18	1737	103	218
# --- HÀNG G?CH NH? LO?I 1 ----	265		
1	265	150	30
1	281	150	31
1	297	150	31
1	313	150	31
1	329	150	31
1	345	150	31
1	361	150	31
1	377	150	31
1	393	150	31
1	409	150	31
1	425	150	31
1	441	150	31
1	457	150	31
1	473	150	31
1	489	150	31
1	505	150	31
1	521	150	31
1	537	150	31
1	553	150	31
1	569	150	31
1	585	150	31
1	601	150	31
1	617	150	31
1	633	150	31
1	649	150	31
1	665	150	31
1	681	150	31
1	697	150	31
1	713	150	31
1	729	150	31
1	745	150	31
1	761	150	31
1	777	150	31
1	793	150	31
1	809	150	31
1	825	150	31
1	841	150	31
1	857	150	31
1	873	150	32
#==== GACH BU 1 TREN ====	265		
1	889	137	33
1	903	137	34
1	917	137	34
1	931	137	34
1	945	137	34
1	959	137	34
1	973	137	34
1	987	137	34
1	1001	137	34
1	1015	137	34
1	1029	137	34
1	1043	137	34
1	1057	137	34
1	1071	137	34
1	1085	137	34
1	1099	137	34
1	1113	137	34
1	1127	137	34
1	1141	137	34
1	1155	137	34
1	1169	137	34
1	1183	137	34
1	1197	137	34
1	1211	137	34
1	1225	137	34
1	1239	137	34
1	1253	137	34
1	1267	137	34
1	1281	137	34
1	1295	137	34
1	1309	137	34
1	1323	137	34
1	1337	137	35
#==== GACH BU 1 DUOI ====	265		
1	889	152	36
1	903	152	37
1	917	152	37
1	931	152	37
1	945	152	37
1	959	152	37
1	973	152	37
1	987	152	37
1	1001	152	37
1	1015	152	37
1	1029	152	37
1	1043	152	37
1	1057	152	37
1	1071	152	37
1	1085	152	37
1	1099	152	37
1	1113	152	37
1	1127	152	37
1	1141	152	37
1	1155	152	37
1	1169	152	37
1	1183	152	37
1	1197	152	37
1	1211	152	37
1	1225	152	37
1	1239	152	37
1	1253	152	37
1	1267	152	37
1	1281	152	37
1	1295	152	37
1	1309	152	37
1	1323	152	37
1	1337	152	38
# --- HÀNG G?CH NH? LO?I 1 HÀNG 2----	265		
1	1417	150	30
1	1433	150	31
1	1449	150	31
1	1465	150	31
1	1481	150	31
1	1497	150	31
1	1513	150	31
1	1529	150	31
1	1545	150	31
1	1561	150	31
1	1577	150	31
1	1593	150	31
1	1609	150	31
1	1625	150	31
1	1641	150	31
1	1657	150	31
1	1673	150	31
1	1689	150	31
1	1705	150	31
1	1721	150	31
1	1737	150	31
1	1753	150	32
# --- HÀNG G?CH NH? LO?I 1 HÀNG 3----	265		
1	1801	150	30
1	1817	150	31
1	1833	150	31
1	1849	150	31
1	1865	150	31
# --- HÀNG G?CH NH? LO?I 1 HÀNG 4----	265		
1	1929	150	30
1	1945	150	31
1	1961	150	31
1	1977	150	31
1	1993	150	31
1	2009	150	31
1	2025	150	31
1	2041	150	31
1	2057	150	31
1	2073	150	31
1	2089	150	31
1	2105	150	31
1	2121	150	31
1	2137	150	31
1	2153	150	31
1	2169	150	31
1	2185	150	31
1	2201	150	31
1	2217	150	31
1	2233	150	31
1	2249	150	31
1	2265	150	31
1	2281	150	31
1	2297	150	31
1	2313	150	31
1	2329	150	31
1	2345	150	31
1	2361	150	31
1	2377	150	31
1	2393	150	31
1	2409	150	31
1	2425	150	31
1	2441	150	31
1	2457	150	31
1	2473	150	31
1	2487	150	32
# --- HÀNG G?CH NH? LO?I 1 HÀNG 5----	265		
1	2521	150	30
1	2537	150	31
1	2553	150	31
1	2569	150	31
1	2585	150	31
1	2601	150	31
1	2617	150	31
1	2633	150	31
1	2649	150	31
1	2665	150	31
1	2681	150	31
1	2697	150	31
1	2713	150	31
1	2729	150	31
1	2745	150	31
1	2761	150	31
1	2777	150	31
1	2793	150	31
1	2809	150	31
1	2825	150	31
1	2841	150	31
1	2857	150	31
1	2873	150	31
1	2889	150	31
1	2905	150	31
1	2921	150	31
1	2937	150	31
1	2953	150	31
1	2969	150	31
1	2985	150	31
1	3001	150	31
1	3017	150	31
1	3033	150	31
1	3049	150	31
1	3065	150	32
#SECTION 1 END	265		
#SECTION 3	265		
#=== KH?I XANH CAO 1 ===	265		
5	539	70	57
5	555	70	58
5	571	70	59
#==== KH?I ?? 1 ====	265		
5	505	102	48
5	521	102	49
5	537	102	50
#=====H?P TR?NG	265		
5	777	38	39
5	793	38	40
5	809	38	40
5	825	38	41
#=== H?P ??	265		
5	729	70	48
5	745	70	49
5	761	70	49
5	777	70	50
#KH?I XANH LÁ _C?M 2	265		
5	665	102	66
5	681	102	67
5	697	102	67
5	713	102	67
5	729	102	68
#KH?I XANH LÁ 2 _C?M 2	265		
5	778	118	66
5	794	118	67
5	810	118	67
5	826	118	67
5	842	118	67
5	858	118	68
#=====H?P XANH	265		
5	1593	54	57
5	1609	54	58
5	1625	54	58
5	1641	54	58
5	1657	54	58
5	1673	54	58
5	1689	54	59
#=== H?P ??	265		
5	1561	86	48
5	1577	86	49
5	1593	86	49
5	1609	86	49
5	1625	86	49
5	1641	86	49
5	1657	86	50
#H?P XANH	265		
5	1529	118	66
5	1545	118	67
5	1561	118	67
5	1577	118	67
5	1593	118	67
5	1609	118	67
5	1625	118	68
#H?P XANH	265		
5	2441	6	66
5	2457	6	67
5	2473	6	68
#==== KH?I ?? 1 ====	265		
5	2409	102	48
5	2425	102	49
5	2441	102	50
#=======FLOWER RED	265		
13	625	117	216
#=======FLOWER GREEN	265		
21	2065	126	216
#=======FLOWER GREEN CAN SHOOT	265		
22	2129	126	216

# ?NG C?NG 1	265		
6	617	102	80
6	633	102	81
6	618	118	82
6	633	118	83
6	618	134	82
6	633	134	83
#?NG C?NG 2	265		
6	2057	118	80
6	2073	118	81
6	2058	134	82
6	2073	134	83
# ?NG C?NG 3	265		
6	2122	102	80
6	2138	102	81
6	2123	118	82
6	2138	118	83
6	2123	134	82
6	2138	134	83
#?NG C?NG 5	265		
6	2585	118	80
6	2601	118	81
6	2586	134	82
6	2601	134	83
#?NG C?NG B? 4	265		
#KHÚC D??I	265		
6	2522	118	82
6	2537	118	83
6	2522	134	82
6	2537	134	83
# g?ch l?p ?ng	265		
1	2521	103	402
1	2537	103	402
1	2521	38	402
1	2537	38	402
#DOUBLE PIPE BLACK BODY	265		
6	1600	990	407
6	1593	990	407
6	1612	990	408
6	1824	990	407
6	1817	990	407
6	1836	990	408
#DOUBLE PIPE BLACK	265		
6	1594	1003	406
38	1818	1003	406
#ENDSECTION 3	265		
# GOOMBA 	265		
2	489	134	88
2	793	134	88
2	1097	115	88
2	1145	115	88
#GOOMBA_ ?? _BAY	265		
11	1209	100	88
#KOOPA XANH_BAY	265		
7	1593	27	89
7	1641	27	89
7	1690	27	89
#KOOPA XANH_B?	265		
3	1737	123	89
#KOOPA ??_B?	265		
8	841	89	89
8	2361	91	89
#======LEAF 1	265		
16	505	39	219
#==== LEAF 2	265		
16	921	121	219
#==== LEAF 3	265		
16	1737	103	219
#===== MUSHROOM RED	265		
#===== MUSHROOM RED 1	265		
17	505	39	220
#===== MUSHROOM RED 2	265		
17	921	121	220
#===== MUSHROOM RED 3	265		
17	1737	103	220
#===== BELL	265		
24	2292	102	221
# --- COIN CAN MOVE ----	265		
15	441	87	209
15	457	87	209
15	489	39	209
15	681	55	209
15	969	87	209
